Scenario,Version,Time,Channel,Market,Measure,value
Baseline,Working,Jan_2026,Paid_Search,Tampa,Spend,10500
Baseline,Working,Jan_2026,Paid_Search,Tampa,CPC,1.5
Baseline,Working,Jan_2026,Paid_Search,Tampa,CVR,0.02
Baseline,Working,Jan_2026,Paid_Search,Tampa,Close_Rate,0.1
Baseline,Working,Jan_2026,Paid_Search,Tampa,AOV,200
Baseline,Working,Jan_2026,Paid_Search,Tampa,COGS_Rate,0.3
Baseline,Working,Jan_2026,Paid_Search,Orlando,Spend,10700
Baseline,Working,Jan_2026,Paid_Search,Orlando,CPC,1.52
Baseline,Working,Jan_2026,Paid_Search,Orlando,CVR,0.02
Baseline,Working,Jan_2026,Paid_Search,Orlando,Close_Rate,0.1
Baseline,Working,Jan_2026,Paid_Search,Orlando,AOV,250
Baseline,Working,Jan_2026,Paid_Search,Orlando,COGS_Rate,0.3
Baseline,Working,Jan_2026,Paid_Search,Miami,Spend,10900
Baseline,Working,Jan_2026,Paid_Search,Miami,CPC,1.54
Baseline,Working,Jan_2026,Paid_Search,Miami,CVR,0.02
Baseline,Working,Jan_2026,Paid_Search,Miami,Close_Rate,0.1
Baseline,Working,Jan_2026,Paid_Search,Miami,AOV,300
Baseline,Working,Jan_2026,Paid_Search,Miami,COGS_Rate,0.3
Baseline,Working,Jan_2026,Paid_Search,Atlanta,Spend,11100
Baseline,Working,Jan_2026,Paid_Search,Atlanta,CPC,1.56
Baseline,Working,Jan_2026,Paid_Search,Atlanta,CVR,0.02
Baseline,Working,Jan_2026,Paid_Search,Atlanta,Close_Rate,0.1
Baseline,Working,Jan_2026,Paid_Search,Atlanta,AOV,350
Baseline,Working,Jan_2026,Paid_Search,Atlanta,COGS_Rate,0.3
Baseline,Working,Jan_2026,Paid_Search,Charlotte,Spend,11300
Baseline,Working,Jan_2026,Paid_Search,Charlotte,CPC,1.58
Baseline,Working,Jan_2026,Paid_Search,Charlotte,CVR,0.02
Baseline,Working,Jan_2026,Paid_Search,Charlotte,Close_Rate,0.1
Baseline,Working,Jan_2026,Paid_Search,Charlotte,AOV,400
Baseline,Working,Jan_2026,Paid_Search,Charlotte,COGS_Rate,0.3
Baseline,Working,Jan_2026,Paid_Search,New_York_City,Spend,11500
Baseline,Working,Jan_2026,Paid_Search,New_York_City,CPC,1.6
Baseline,Working,Jan_2026,Paid_Search,New_York_City,CVR,0.02
Baseline,Working,Jan_2026,Paid_Search,New_York_City,Close_Rate,0.1
Baseline,Working,Jan_2026,Paid_Search,New_York_City,AOV,450
Baseline,Working,Jan_2026,Paid_Search,New_York_City,COGS_Rate,0.3
Baseline,Working,Jan_2026,Paid_Search,Boston,Spend,11700
Baseline,Working,Jan_2026,Paid_Search,Boston,CPC,1.62
Baseline,Working,Jan_2026,Paid_Search,Boston,CVR,0.02
Baseline,Working,Jan_2026,Paid_Search,Boston,Close_Rate,0.1
Baseline,Working,Jan_2026,Paid_Search,Boston,AOV,500
Baseline,Working,Jan_2026,Paid_Search,Boston,COGS_Rate,0.3
Baseline,Working,Jan_2026,Paid_Social,Tampa,Spend,11500
Baseline,Working,Jan_2026,Paid_Social,Tampa,CPC,1.55
Baseline,Working,Jan_2026,Paid_Social,Tampa,CVR,0.025
