Scenario,Version,Game,Measure,value
balanced,Working,2022-04-07_Milwaukee_Brewers_at_Chicago_Cubs,Total_Score,9
balanced,Working,2022-04-07_Milwaukee_Brewers_at_Chicago_Cubs,Weather_Temp,44
balanced,Working,2022-04-07_Milwaukee_Brewers_at_Chicago_Cubs,Wind_MPH,14.0
balanced,Working,2022-04-07_Milwaukee_Brewers_at_Chicago_Cubs,Is_Day_Game,1.0
balanced,Working,2022-04-07_Milwaukee_Brewers_at_Chicago_Cubs,Is_Dome,0.0
balanced,Working,2022-04-07_Milwaukee_Brewers_at_Chicago_Cubs,Elevation_Ft,595.0
balanced,Working,2022-04-07_Cleveland_Guardians_at_Kansas_City_Royals,Total_Score,4
balanced,Working,2022-04-07_Cleveland_Guardians_at_Kansas_City_Royals,Weather_Temp,47
balanced,Working,2022-04-07_Cleveland_Guardians_at_Kansas_City_Royals,Wind_MPH,16.0
balanced,Working,2022-04-07_Cleveland_Guardians_at_Kansas_City_Royals,Is_Day_Game,1.0
balanced,Working,2022-04-07_Cleveland_Guardians_at_Kansas_City_Royals,Is_Dome,0.0
balanced,Working,2022-04-07_Cleveland_Guardians_at_Kansas_City_Royals,Elevation_Ft,856.0
balanced,Working,2022-04-07_Pittsburgh_Pirates_at_St._Louis_Cardinals,Total_Score,9
balanced,Working,2022-04-07_Pittsburgh_Pirates_at_St._Louis_Cardinals,Weather_Temp,50
balanced,Working,2022-04-07_Pittsburgh_Pirates_at_St._Louis_Cardinals,Wind_MPH,20.0
balanced,Working,2022-04-07_Pittsburgh_Pirates_at_St._Louis_Cardinals,Is_Day_Game,1.0
balanced,Working,2022-04-07_Pittsburgh_Pirates_at_St._Louis_Cardinals,Is_Dome,0.0
balanced,Working,2022-04-07_Pittsburgh_Pirates_at_St._Louis_Cardinals,Elevation_Ft,460.0
balanced,Working,2022-04-07_New_York_Mets_at_Washington_Nationals,Total_Score,6
balanced,Working,2022-04-07_New_York_Mets_at_Washington_Nationals,Weather_Temp,52
balanced,Working,2022-04-07_New_York_Mets_at_Washington_Nationals,Wind_MPH,4.0
balanced,Working,2022-04-07_New_York_Mets_at_Washington_Nationals,Is_Day_Game,0.0
balanced,Working,2022-04-07_New_York_Mets_at_Washington_Nationals,Is_Dome,0.0
balanced,Working,2022-04-07_New_York_Mets_at_Washington_Nationals,Elevation_Ft,35.0
balanced,Working,2022-04-07_Cincinnati_Reds_at_Atlanta_Braves,Total_Score,9
balanced,Working,2022-04-07_Cincinnati_Reds_at_Atlanta_Braves,Weather_Temp,63
balanced,Working,2022-04-07_Cincinnati_Reds_at_Atlanta_Braves,Wind_MPH,15.0
balanced,Working,2022-04-07_Cincinnati_Reds_at_Atlanta_Braves,Is_Day_Game,0.0
balanced,Working,2022-04-07_Cincinnati_Reds_at_Atlanta_Braves,Is_Dome,0.0
balanced,Working,2022-04-07_Cincinnati_Reds_at_Atlanta_Braves,Elevation_Ft,1001.0
balanced,Working,2022-04-07_Houston_Astros_at_Los_Angeles_Angels,Total_Score,4
balanced,Working,2022-04-07_Houston_Astros_at_Los_Angeles_Angels,Weather_Temp,93
balanced,Working,2022-04-07_Houston_Astros_at_Los_Angeles_Angels,Wind_MPH,6.0
balanced,Working,2022-04-07_Houston_Astros_at_Los_Angeles_Angels,Is_Day_Game,0.0
balanced,Working,2022-04-07_Houston_Astros_at_Los_Angeles_Angels,Is_Dome,0.0
balanced,Working,2022-04-07_Houston_Astros_at_Los_Angeles_Angels,Elevation_Ft,151.0
balanced,Working,2022-04-07_San_Diego_Padres_at_Arizona_Diamondbacks,Total_Score,6
balanced,Working,2022-04-07_San_Diego_Padres_at_Arizona_Diamondbacks,Weather_Temp,93
balanced,Working,2022-04-07_San_Diego_Padres_at_Arizona_Diamondbacks,Wind_MPH,6.0
balanced,Working,2022-04-07_San_Diego_Padres_at_Arizona_Diamondbacks,Is_Day_Game,0.0
balanced,Working,2022-04-07_San_Diego_Padres_at_Arizona_Diamondbacks,Is_Dome,0.0
balanced,Working,2022-04-07_San_Diego_Padres_at_Arizona_Diamondbacks,Elevation_Ft,1086.0
balanced,Working,2022-04-08_Boston_Red_Sox_at_New_York_Yankees,Total_Score,11
balanced,Working,2022-04-08_Boston_Red_Sox_at_New_York_Yankees,Weather_Temp,59
balanced,Working,2022-04-08_Boston_Red_Sox_at_New_York_Yankees,Wind_MPH,10.0
balanced,Working,2022-04-08_Boston_Red_Sox_at_New_York_Yankees,Is_Day_Game,1.0
balanced,Working,2022-04-08_Boston_Red_Sox_at_New_York_Yankees,Is_Dome,0.0
balanced,Working,2022-04-08_Boston_Red_Sox_at_New_York_Yankees,Elevation_Ft,55.0
balanced,Working,2022-04-08_Chicago_White_Sox_at_Detroit_Tigers,Total_Score,9
balanced,Working,2022-04-08_Chicago_White_Sox_at_Detroit_Tigers,Weather_Temp,45
balanced,Working,2022-04-08_Chicago_White_Sox_at_Detroit_Tigers,Wind_MPH,10.0
balanced,Working,2022-04-08_Chicago_White_Sox_at_Detroit_Tigers,Is_Day_Game,1.0
balanced,Working,2022-04-08_Chicago_White_Sox_at_Detroit_Tigers,Is_Dome,0.0
balanced,Working,2022-04-08_Chicago_White_Sox_at_Detroit_Tigers,Elevation_Ft,600.0
balanced,Working,2022-04-08_Athletics_at_Philadelphia_Phillies,Total_Score,14
balanced,Working,2022-04-08_Athletics_at_Philadelphia_Phillies,Weather_Temp,64
balanced,Working,2022-04-08_Athletics_at_Philadelphia_Phillies,Wind_MPH,10.0
balanced,Working,2022-04-08_Athletics_at_Philadelphia_Phillies,Is_Day_Game,1.0
balanced,Working,2022-04-08_Athletics_at_Philadelphia_Phillies,Is_Dome,0.0
balanced,Working,2022-04-08_Athletics_at_Philadelphia_Phillies,Elevation_Ft,20.0
balanced,Working,2022-04-08_Baltimore_Orioles_at_Tampa_Bay_Rays,Total_Score,3
balanced,Working,2022-04-08_Baltimore_Orioles_at_Tampa_Bay_Rays,Weather_Temp,72
balanced,Working,2022-04-08_Baltimore_Orioles_at_Tampa_Bay_Rays,Wind_MPH,0.0
balanced,Working,2022-04-08_Baltimore_Orioles_at_Tampa_Bay_Rays,Is_Day_Game,1.0
balanced,Working,2022-04-08_Baltimore_Orioles_at_Tampa_Bay_Rays,Is_Dome,1.0
balanced,Working,2022-04-08_Baltimore_Orioles_at_Tampa_Bay_Rays,Elevation_Ft,15.0
balanced,Working,2022-04-08_Los_Angeles_Dodgers_at_Colorado_Rockies,Total_Score,8
balanced,Working,2022-04-08_Los_Angeles_Dodgers_at_Colorado_Rockies,Weather_Temp,66
balanced,Working,2022-04-08_Los_Angeles_Dodgers_at_Colorado_Rockies,Wind_MPH,6.0
balanced,Working,2022-04-08_Los_Angeles_Dodgers_at_Colorado_Rockies,Is_Day_Game,1.0
balanced,Working,2022-04-08_Los_Angeles_Dodgers_at_Colorado_Rockies,Is_Dome,0.0
balanced,Working,2022-04-08_Los_Angeles_Dodgers_at_Colorado_Rockies,Elevation_Ft,5190.0
balanced,Working,2022-04-08_Seattle_Mariners_at_Minnesota_Twins,Total_Score,3
balanced,Working,2022-04-08_Seattle_Mariners_at_Minnesota_Twins,Weather_Temp,45
balanced,Working,2022-04-08_Seattle_Mariners_at_Minnesota_Twins,Wind_MPH,17.0
balanced,Working,2022-04-08_Seattle_Mariners_at_Minnesota_Twins,Is_Day_Game,1.0
balanced,Working,2022-04-08_Seattle_Mariners_at_Minnesota_Twins,Is_Dome,0.0
balanced,Working,2022-04-08_Seattle_Mariners_at_Minnesota_Twins,Elevation_Ft,828.0
balanced,Working,2022-04-08_Miami_Marlins_at_San_Francisco_Giants,Total_Score,11
balanced,Working,2022-04-08_Miami_Marlins_at_San_Francisco_Giants,Weather_Temp,69
balanced,Working,2022-04-08_Miami_Marlins_at_San_Francisco_Giants,Wind_MPH,23.0
balanced,Working,2022-04-08_Miami_Marlins_at_San_Francisco_Giants,Is_Day_Game,1.0
balanced,Working,2022-04-08_Miami_Marlins_at_San_Francisco_Giants,Is_Dome,0.0
balanced,Working,2022-04-08_Miami_Marlins_at_San_Francisco_Giants,Elevation_Ft,0.0
balanced,Working,2022-04-08_New_York_Mets_at_Washington_Nationals,Total_Score,10
balanced,Working,2022-04-08_New_York_Mets_at_Washington_Nationals,Weather_Temp,62
balanced,Working,2022-04-08_New_York_Mets_at_Washington_Nationals,Wind_MPH,6.0
balanced,Working,2022-04-08_New_York_Mets_at_Washington_Nationals,Is_Day_Game,0.0
balanced,Working,2022-04-08_New_York_Mets_at_Washington_Nationals,Is_Dome,0.0
balanced,Working,2022-04-08_New_York_Mets_at_Washington_Nationals,Elevation_Ft,35.0
balanced,Working,2022-04-08_Texas_Rangers_at_Toronto_Blue_Jays,Total_Score,18
balanced,Working,2022-04-08_Texas_Rangers_at_Toronto_Blue_Jays,Weather_Temp,68
balanced,Working,2022-04-08_Texas_Rangers_at_Toronto_Blue_Jays,Wind_MPH,0.0
balanced,Working,2022-04-08_Texas_Rangers_at_Toronto_Blue_Jays,Is_Day_Game,0.0
balanced,Working,2022-04-08_Texas_Rangers_at_Toronto_Blue_Jays,Is_Dome,1.0
balanced,Working,2022-04-08_Texas_Rangers_at_Toronto_Blue_Jays,Elevation_Ft,270.0
balanced,Working,2022-04-08_Cincinnati_Reds_at_Atlanta_Braves,Total_Score,13
balanced,Working,2022-04-08_Cincinnati_Reds_at_Atlanta_Braves,Weather_Temp,46
balanced,Working,2022-04-08_Cincinnati_Reds_at_Atlanta_Braves,Wind_MPH,3.0
balanced,Working,2022-04-08_Cincinnati_Reds_at_Atlanta_Braves,Is_Day_Game,0.0
balanced,Working,2022-04-08_Cincinnati_Reds_at_Atlanta_Braves,Is_Dome,0.0
balanced,Working,2022-04-08_Cincinnati_Reds_at_Atlanta_Braves,Elevation_Ft,1001.0
balanced,Working,2022-04-08_Houston_Astros_at_Los_Angeles_Angels,Total_Score,19
balanced,Working,2022-04-08_Houston_Astros_at_Los_Angeles_Angels,Weather_Temp,93
balanced,Working,2022-04-08_Houston_Astros_at_Los_Angeles_Angels,Wind_MPH,10.0
